scenario,buffer_distance_m,admin_level,county,total_dog_population,covered_dog_population,uncovered_dog_population,coverage_pct,pct_of_country_dog_population,pct_of_total_buffer_population,uncovered_rural_dog_population,uncovered_urban_dog_population,pct_uncovered_population_rural,pct_uncovered_population_urban,uncovered_rural_pixel_count,uncovered_urban_pixel_count,coverage_class
1km,1000,county,Baringo,93716.5,48056.96484375,45659.53515625,51.27908622681171,1.4525247733426154,1.0227025108389691,40364.625,5290.49853515625,88.40349526527052,11.58684274172264,1045628.6875,13836.8154296875,50–69% coverage
1km,1000,county,Bomet,125416.1328125,104818.484375,20597.6484375,83.57655592180157,1.9438416915589456,2.2306470560757705,3513.391845703125,17084.255859375,17.05724736667831,82.94274907746978,73626.0703125,35458.65234375,≥70% coverage
1km,1000,county,Bungoma,272423.71875,221590.34375,50833.375,81.34032703420763,4.222332250249382,4.715674443186735,2404.923583984375,48428.4609375,4.7309933365321015,95.26902539424148,82408.2734375,65329.1171875,≥70% coverage
1km,1000,county,Busia,146334.09375,104373.625,41960.46875,71.32556899440942,2.2680520117216902,2.221179982962394,3867.8583984375,38092.62109375,9.217862701873415,90.78216289885943,24446.095703125,56587.08203125,≥70% coverage
1km,1000,county,Elgeyo Marakwet,63293.3359375,41737.39453125,21555.94140625,65.94279462922327,0.9809920178059915,0.8882154401920657,13192.2265625,8363.7138671875,61.199955566194866,38.80003990344164,219730.984375,19464.173828125,50–69% coverage
1km,1000,county,Embu,86465.2265625,61950.2578125,24514.96875,71.64759785567699,1.3401363005950202,1.318366326670025,15523.48046875,8991.2548828125,63.322456687814466,36.67659124718444,176975.828125,19504.921875,≥70% coverage
1km,1000,county,Garissa,73466.1171875,45022.25390625,28443.86328125,61.28301811751442,1.1386613372899699,0.9581206857998172,22515.35546875,5928.5087890625,79.15716387088658,20.842839562411104,5059128,12442.8564453125,50–69% coverage
1km,1000,county,Homa Bay,180522.703125,142023,38499.703125,78.6732070490095,2.7979459160322557,3.0223980887917623,13816.14453125,24665.890625,35.88636641272802,64.06774240548121,97401.4765625,50879.359375,≥70% coverage
1km,1000,county,Isiolo,41265.9375,28717.078125,12548.859375,69.59027194038667,0.6395863750135572,0.6111294793145035,11953.21484375,595.64581298828125,95.25339703434202,4.746613179640331,2945392.75,1411.361083984375,50–69% coverage
1km,1000,county,Kajiado,111383.40625,63428.59375,47954.8125,56.946178865848786,1.726346554954674,1.3498268627246932,34639.3984375,13313.1015625,72.23341439923261,27.76176335273962,2386109.25,30504.720703125,50–69% coverage
